season,episodeNumber,episodeTitle,sceneNumber,location,sublocation,sceneStart,sceneEnd,name,sceneDuration
1,1,Winter Is Coming,1,The Wall,Castle Black,0:00:40,0:01:45,Gared,65
1,1,Winter Is Coming,1,The Wall,Castle Black,0:00:40,0:01:45,Waymar Royce,65
1,1,Winter Is Coming,1,The Wall,Castle Black,0:00:40,0:01:45,Will,65
1,1,Winter Is Coming,2,North of the Wall,The Haunted Forest,0:01:45,0:03:24,Gared,99
1,1,Winter Is Coming,2,North of the Wall,The Haunted Forest,0:01:45,0:03:24,Waymar Royce,99
1,1,Winter Is Coming,2,North of the Wall,The Haunted Forest,0:01:45,0:03:24,Will,99
1,1,Winter Is Coming,3,North of the Wall,The Haunted Forest,0:03:24,0:03:31,Will,7
1,1,Winter Is Coming,3,North of the Wall,The Haunted Forest,0:03:24,0:03:31,Wight Wildling Girl,7
1,1,Winter Is Coming,4,North of the Wall,The Haunted Forest,0:03:31,0:03:38,Will,7
1,1,Winter Is Coming,6,North of the Wall,The Haunted Forest,0:03:44,0:05:36,Gared,112
1,1,Winter Is Coming,6,North of the Wall,The Haunted Forest,0:03:44,0:05:36,Waymar Royce,112
1,1,Winter Is Coming,6,North of the Wall,The Haunted Forest,0:03:44,0:05:36,Will,112
1,1,Winter Is Coming,7,North of the Wall,The Haunted Forest,0:05:36,0:05:41,Will,5
1,1,Winter Is Coming,8,North of the Wall,The Haunted Forest,0:05:41,0:05:48,Gared,7
1,1,Winter Is Coming,8,North of the Wall,The Haunted Forest,0:05:41,0:05:48,Waymar Royce,7
1,1,Winter Is Coming,9,North of the Wall,The Haunted Forest,0:05:48,0:05:58,Will,10
1,1,Winter Is Coming,10,North of the Wall,The Haunted Forest,0:05:58,0:06:21,Gared,23
1,1,Winter Is Coming,10,North of the Wall,The Haunted Forest,0:05:58,0:06:21,Waymar Royce,23
1,1,Winter Is Coming,10,North of the Wall,The Haunted Forest,0:05:58,0:06:21,White Walker,23
1,1,Winter Is Coming,11,North of the Wall,The Haunted Forest,0:06:21,0:06:39,Will,18
1,1,Winter Is Coming,12,North of the Wall,The Haunted Forest,0:06:39,0:06:49,Will,10
1,1,Winter Is Coming,12,North of the Wall,The Haunted Forest,0:06:39,0:06:49,Wight Wildling Girl,10
1,1,Winter Is Coming,13,North of the Wall,The Haunted Forest,0:06:49,0:07:45,Will,56
1,1,Winter Is Coming,13,North of the Wall,The Haunted Forest,0:06:49,0:07:45,Gared,56
1,1,Winter Is Coming,13,North of the Wall,The Haunted Forest,0:06:49,0:07:45,White Walker,56
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Will,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Jon Snow,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Bran Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Robb Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Eddard Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Catelyn Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Rickon Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Sansa Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Arya Stark,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Theon Greyjoy,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Rodrik Cassel,191
1,1,Winter Is Coming,14,The North,Winterfell,0:09:27,0:12:38,Septa Mordane,191
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Will,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Eddard Stark,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Robb Stark,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Theon Greyjoy,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Bran Stark,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Rodrik Cassel,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Jory Cassel,183
1,1,Winter Is Coming,15,The North,Outside Winterfell,0:12:38,0:15:41,Jon Snow,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Jon Snow,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Eddard Stark,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Theon Greyjoy,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Bran Stark,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Robb Stark,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Rodrik Cassel,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Jory Cassel,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Grey Wind,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Lady,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Nymeria,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Summer,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Shaggydog,183
1,1,Winter Is Coming,16,The North,Outside Winterfell,0:15:41,0:18:44,Ghost,183
1,1,Winter Is Coming,17,The Crownlands,King's Landing,0:18:44,0:20:45,Jon Arryn,121
1,1,Winter Is Coming,17,The Crownlands,King's Landing,0:18:44,0:20:45,Cersei Lannister,121
1,1,Winter Is Coming,17,The Crownlands,King's Landing,0:18:44,0:20:45,Jaime Lannister,121
